task_id,task_type,difficulty,instruction,input
516,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
517,summarization,easy,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
518,reasoning,hard,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
519,reasoning,hard,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
520,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
521,translation,easy,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
522,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
523,translation,hard,Translate this English text to French: I love learning new languages.,I love learning new languages.
524,translation,medium,Translate this English text to French: The weather is beautiful this morning.,The weather is beautiful this morning.
525,translation,easy,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
526,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
527,qa,easy,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
528,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
529,reasoning,medium,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
530,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
531,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
532,summarization,easy,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
533,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
534,summarization,medium,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
535,summarization,easy,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
536,summarization,medium,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
537,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
538,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
539,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
540,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
541,reasoning,medium,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
542,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
543,translation,medium,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
544,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
545,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
546,qa,medium,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
547,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
548,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
549,reasoning,hard,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
550,translation,medium,Translate this English text to French: The book is on the table.,The book is on the table.
551,reasoning,hard,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
552,translation,hard,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
553,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
554,reasoning,easy,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
555,translation,easy,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
556,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: I'm not sure how I feel about this product. It's okay I guess.",I'm not sure how I feel about this product. It's okay I guess.
557,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
558,translation,hard,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
559,reasoning,easy,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
560,qa,medium,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
561,translation,medium,Translate this English text to French: The book is on the table.,The book is on the table.
562,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
563,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The service was terrible and the food was cold.",The service was terrible and the food was cold.
564,reasoning,hard,Explain the reasoning behind this statement: Vaccines work by training the immune system to recognize pathogens.,Vaccines work by training the immune system to recognize pathogens.
565,qa,medium,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
566,summarization,medium,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
567,reasoning,hard,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
568,qa,medium,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
569,summarization,hard,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
570,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
571,qa,easy,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
572,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
573,reasoning,medium,"Explain the reasoning behind this statement: If all cats are mammals, and all mammals are animals, then all cats are animals.","If all cats are mammals, and all mammals are animals, then all cats are animals."
574,qa,medium,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
575,summarization,medium,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
576,summarization,easy,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
577,summarization,easy,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
578,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
579,reasoning,easy,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
580,reasoning,easy,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
581,translation,easy,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
582,summarization,hard,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
583,summarization,hard,"Summarize the following text in one sentence: The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment.","The internet has revolutionized how we communicate and access information. What started as a military research project has become an essential part of modern life. Today, billions of people use the internet daily for work, education, and entertainment."
584,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
585,summarization,medium,"Summarize the following text in one sentence: Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers.","Quantum computing represents a paradigm shift in computational power. Unlike classical computers that use bits, quantum computers use qubits that can exist in multiple states simultaneously. This allows them to solve certain problems exponentially faster than traditional computers."
586,qa,hard,Answer the question based on the context: Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.,Question: When did World War II end? Context: World War II was a global conflict that lasted from 1939 to 1945. It ended in 1945 with the surrender of Germany in May and Japan in September.
587,summarization,hard,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
588,qa,medium,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
589,qa,hard,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
590,translation,medium,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
591,translation,hard,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
592,translation,easy,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
593,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
594,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
595,qa,hard,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
596,reasoning,easy,Explain the reasoning behind this statement: Ice floats on water because it is less dense than liquid water.,Ice floats on water because it is less dense than liquid water.
597,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
598,translation,hard,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
599,translation,easy,Translate this English text to French: Where is the nearest train station?,Where is the nearest train station?
600,translation,medium,"Translate this English text to French: Hello, how are you today?","Hello, how are you today?"
601,translation,easy,Translate this English text to French: I love learning new languages.,I love learning new languages.
602,reasoning,medium,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
603,translation,easy,"Translate this English text to French: Good morning, have a great day!","Good morning, have a great day!"
604,summarization,easy,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
605,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
606,summarization,easy,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
607,qa,medium,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
608,translation,medium,Translate this English text to French: The book is on the table.,The book is on the table.
609,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: This movie was absolutely fantastic! I loved every minute of it.",This movie was absolutely fantastic! I loved every minute of it.
610,qa,easy,"Answer the question based on the context: Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth.","Question: Who wrote Romeo and Juliet? Context: William Shakespeare was an English playwright and poet. He wrote many famous plays including Romeo and Juliet, Hamlet, and Macbeth."
611,reasoning,hard,Explain the reasoning behind this statement: Sound travels faster in water than in air due to density differences.,Sound travels faster in water than in air due to density differences.
612,reasoning,medium,Explain the reasoning behind this statement: The sky appears blue because of Rayleigh scattering.,The sky appears blue because of Rayleigh scattering.
613,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
614,classification,easy,"Classify the sentiment of this text as positive, negative, or neutral: Best purchase ever! Highly recommend to everyone.",Best purchase ever! Highly recommend to everyone.
615,translation,hard,Translate this English text to French: The book is on the table.,The book is on the table.
616,translation,easy,Translate this English text to French: The weather is beautiful this morning.,The weather is beautiful this morning.
617,translation,hard,Translate this English text to French: Can you help me find my way?,Can you help me find my way?
618,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
619,reasoning,easy,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
620,qa,medium,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
621,reasoning,medium,Explain the reasoning behind this statement: Plants grow toward light because of phototropism.,Plants grow toward light because of phototropism.
622,reasoning,medium,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
623,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
624,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: An incredible experience from start to finish.",An incredible experience from start to finish.
625,reasoning,hard,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
626,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: The product broke after just one week of use.",The product broke after just one week of use.
627,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
628,qa,medium,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
629,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
630,summarization,hard,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
631,reasoning,hard,Explain the reasoning behind this statement: The Earth orbits the Sun due to gravitational attraction.,The Earth orbits the Sun due to gravitational attraction.
632,summarization,easy,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
633,reasoning,medium,Explain the reasoning behind this statement: Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.,Water boils at 100 degrees Celsius at sea level because that's when vapor pressure equals atmospheric pressure.
634,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
635,summarization,easy,"Summarize the following text in one sentence: Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing.","Artificial intelligence has made significant progress in recent years. Machine learning algorithms can now perform tasks that were once thought to require human intelligence. Deep learning, a subset of machine learning, has been particularly successful in areas like image recognition and natural language processing."
636,translation,easy,Translate this English text to French: Thank you very much for your help.,Thank you very much for your help.
637,summarization,easy,"Summarize the following text in one sentence: Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause.","Climate change is one of the most pressing issues of our time. Rising global temperatures are causing ice caps to melt, sea levels to rise, and weather patterns to become more extreme. Scientists agree that human activities, particularly the burning of fossil fuels, are the primary cause."
638,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Waste of money. Very disappointed with the quality.",Waste of money. Very disappointed with the quality.
639,reasoning,medium,Explain the reasoning behind this statement: The moon causes tides through gravitational pull on Earth's oceans.,The moon causes tides through gravitational pull on Earth's oceans.
640,translation,medium,"Translate this English text to French: Hello, how are you today?","Hello, how are you today?"
641,summarization,medium,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
642,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: The book was engaging and well-written throughout.",The book was engaging and well-written throughout.
643,qa,easy,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
644,translation,medium,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
645,translation,medium,Translate this English text to French: I would like to order a coffee please.,I would like to order a coffee please.
646,translation,hard,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
647,qa,hard,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
648,classification,hard,"Classify the sentiment of this text as positive, negative, or neutral: This restaurant exceeded all my expectations.",This restaurant exceeded all my expectations.
649,classification,medium,"Classify the sentiment of this text as positive, negative, or neutral: Not worth the price. There are better alternatives.",Not worth the price. There are better alternatives.
650,summarization,hard,"Summarize the following text in one sentence: The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity.","The human brain is an incredibly complex organ. It contains approximately 86 billion neurons that communicate through trillions of connections. Despite decades of research, scientists are still working to understand how consciousness emerges from neural activity."
651,qa,easy,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
652,qa,hard,"Answer the question based on the context: Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen.","Question: What is photosynthesis? Context: Photosynthesis is the process by which plants convert light energy into chemical energy. Plants use sunlight, water, and carbon dioxide to produce glucose and oxygen."
653,qa,medium,"Answer the question based on the context: Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity.","Question: What is the speed of light? Context: The speed of light in a vacuum is approximately 299,792,458 meters per second. This is considered the universal speed limit according to Einstein's theory of relativity."
654,translation,easy,Translate this English text to French: This is a wonderful opportunity.,This is a wonderful opportunity.
655,qa,medium,"Answer the question based on the context: Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage.","Question: What is the capital of France? Context: France is a country in Western Europe. Its capital and largest city is Paris, known for the Eiffel Tower and rich cultural heritage."
